負けたくないことに理由って要る？,日向翔陽
今のお前は ただの「ちょっとジャンプ力があって素早いだけの下手くそ」だ　大黒柱のエースになんかなれねえ でも俺がいればお前は最強だ！,影山飛雄
・・・もしも相手が絶対かなわない様な強敵だとしても　勝とうとしなきゃ勝てないよ,澤村大地
“3年生なのに可哀想”って思われても試合に出られるチャンスが増えるならなんでもいい,菅原孝支
ところで平凡な俺よ 下を向いている暇はあるのか,田中龍之介
戻れ　すぐ戻れ　十分な助走距離の確保を　全力のジャンプを　何回でも何回でも何回でも!!! 思考を止めるな　足を止めるな　気持ちを切らせばボールが落ちるぞ,東峰旭
心配することなんか何も無え！！　皆 前だけ見てけよォ！！　背中は俺が護ってやるぜ,西谷夕
ほんの僅かいらだちと焦りを含んだ綻びを まってたよ,月島蛍
そんなモンッ　プライド以外に何が要るんだ!!,山口忠
逃げる方が　絶対後からしんどいって事は　もう知ってる,縁下力
何かを始めるのに“揺るぎない意志”とか”崇高な動機”なんて無くていい　成り行きで始めたものが少しずつ大事なものになっていったりする　スタートに必要なのはチョコっとの好奇心くらいだよ,清水潔子
“負け”は弱さの証明ですか？　君達にとって“負け”は試練なんじゃないですか？　地に這いつくばった後、また立って歩けるのかという　君達がそこの這いつくばったままならば　それこそが弱さの証明です,武田一鉄
下を向くんじゃねえええええ!!!　バレーは!!!　常に上を向くスポーツだ,烏養繋心
ー才能は開花させるもの　ーセンスは磨くもの！！！,及川徹
─俺達は血液だ　滞り無く流れろ　酸素を回せ　“脳”が　正常に働くために。,黒尾鉄朗
最初クリアできそうにないゲームでも繰り返すうちに慣れるんだよ,孤爪研磨
何か　嫌だ　俺は　俺達が勝つ事を疑わない　でも　今　初めて　明確に　お前を叩き潰したい,牛島若利
俺のセットで打てへんやつはただのポンコツや,宮侑
